TimeStamp,Value
11/30/2023 00:00:00,35.5
11/30/2023 00:00:00,35.625
12/01/2023 00:00:00,36.2
12/01/2023 00:00:00,35.9
12/04/2023 00:00:00,35.8
12/04/2023 00:00:00,35.2
12/05/2023 00:00:00,34.3
12/05/2023 00:00:00,35.2
12/06/2023 00:00:00,35
12/06/2023 00:00:00,34.75
12/07/2023 00:00:00,35
12/07/2023 00:00:00,35.2
12/08/2023 00:00:00,34.675
12/08/2023 00:00:00,34.5
12/11/2023 00:00:00,33.6
12/11/2023 00:00:00,33.55
12/12/2023 00:00:00,33.275
12/12/2023 00:00:00,33
12/13/2023 00:00:00,33.5
12/13/2023 00:00:00,33.345
12/14/2023 00:00:00,33.45
12/14/2023 00:00:00,33.05
12/15/2023 00:00:00,32.7
12/15/2023 00:00:00,32.8
12/18/2023 00:00:00,33.4
12/18/2023 00:00:00,33.4
12/19/2023 00:00:00,32.2
12/19/2023 00:00:00,32.115
12/20/2023 00:00:00,32.425
12/20/2023 00:00:00,32
12/21/2023 00:00:00,32.55
12/21/2023 00:00:00,32.2
12/22/2023 00:00:00,32.5
12/27/2023 00:00:00,32.67
12/28/2023 00:00:00,31.995
12/29/2023 00:00:00,31.2
01/02/2024 00:00:00,30
01/02/2024 00:00:00,30.925
01/03/2024 00:00:00,30.625
01/03/2024 00:00:00,31.2
01/04/2024 00:00:00,31.3
01/04/2024 00:00:00,31.125
01/05/2024 00:00:00,31.9
01/05/2024 00:00:00,31.85
01/08/2024 00:00:00,30.6
01/08/2024 00:00:00,30.65
01/09/2024 00:00:00,30.7
01/09/2024 00:00:00,30.51
01/10/2024 00:00:00,30.8
01/10/2024 00:00:00,30.8
01/11/2024 00:00:00,30.55
01/12/2024 00:00:00,30.825
01/15/2024 00:00:00,30.35
01/15/2024 00:00:00,30.075
01/16/2024 00:00:00,30.05
01/16/2024 00:00:00,30.35
01/17/2024 00:00:00,29.05
01/17/2024 00:00:00,29.05
01/18/2024 00:00:00,29.5
01/18/2024 00:00:00,29.45
01/19/2024 00:00:00,29.55
01/22/2024 00:00:00,29.22
01/23/2024 00:00:00,29.25
01/24/2024 00:00:00,29.85
01/24/2024 00:00:00,30
01/25/2024 00:00:00,29.75
01/25/2024 00:00:00,29.65
01/26/2024 00:00:00,29.65
01/26/2024 00:00:00,29.415
01/29/2024 00:00:00,29.575
01/30/2024 00:00:00,29.65
01/30/2024 00:00:00,29.555
01/31/2024 00:00:00,30.35
01/31/2024 00:00:00,29.6
02/01/2024 00:00:00,30.3
02/01/2024 00:00:00,30.27
02/02/2024 00:00:00,30.5
02/05/2024 00:00:00,29.95
02/05/2024 00:00:00,29.525
02/06/2024 00:00:00,29.6
02/06/2024 00:00:00,29.3
02/07/2024 00:00:00,29.1
02/08/2024 00:00:00,28.55
02/08/2024 00:00:00,28.645
02/09/2024 00:00:00,27.75
02/09/2024 00:00:00,27.84
02/12/2024 00:00:00,27.575
02/12/2024 00:00:00,27.5
02/13/2024 00:00:00,27.675
02/14/2024 00:00:00,27.45
02/14/2024 00:00:00,27.4
02/15/2024 00:00:00,27.405
02/15/2024 00:00:00,27.45
02/16/2024 00:00:00,27.6
02/16/2024 00:00:00,27.5
02/19/2024 00:00:00,26.93
02/19/2024 00:00:00,26.9
02/20/2024 00:00:00,27.2
02/21/2024 00:00:00,27.3
02/21/2024 00:00:00,27.4
02/22/2024 00:00:00,26.825
02/22/2024 00:00:00,27.33
02/23/2024 00:00:00,26.6
02/23/2024 00:00:00,26.65
02/26/2024 00:00:00,26.86
